Customer ID,Customer Type
838,low budget
839,low budget
840,low budget
841,medium budget
842,low budget
843,medium budget
844,low budget
845,low budget
845,low budget
845,low budget
845,low budget
845,low budget
847,low budget
849,low budget
849,low budget
851,low budget
851,low budget
851,low budget
851,low budget
851,low budget
851,low budget
851,low budget
851,low budget
851,low budget
851,medium budget
851,low budget
851,medium budget
851,medium budget
851,medium budget
851,low budget
851,low budget
851,low budget
851,low budget
851,medium budget
851,low budget
851,low budget
851,low budget
851,low budget
853,low budget
853,low budget
853,low budget
854,low budget
856,low budget
857,low budget
858,low budget
859,low budget
860,medium budget
860,medium budget
861,low budget
862,low budget
864,low budget
865,low budget
866,low budget
866,low budget
866,low budget
866,low budget
868,low budget
869,low budget
873,low budget
874,low budget
876,low budget
876,low budget
876,low budget
876,low budget
876,low budget
877,low budget
877,low budget
878,low budget
880,low budget
881,low budget
881,low budget
882,low budget
883,low budget
885,low budget
885,low budget
885,low budget
885,low budget
885,low budget
885,low budget
885,low budget
886,low budget
887,low budget
888,low budget
889,low budget
890,low budget
891,low budget
892,low budget
893,low budget
895,medium budget
896,low budget
897,low budget
898,low budget
899,luxury/high budget
901,medium budget
903,medium budget
904,low budget
905,medium budget
1345,low budget
906,low budget
907,low budget
908,low budget
908,low budget
909,low budget
910,low budget
912,low budget
913,medium budget
914,medium budget
915,low budget
916,low budget
917,low budget
917,did not pay 
917,low budget
918,medium budget
922,medium budget
923,low budget
924,low budget
925,low budget
927,medium budget
929,low budget
929,low budget
930,low budget
932,low budget
933,low budget
934,low budget
936,luxury/high budget
936,luxury/high budget
937,low budget
937,low budget
938,low budget
940,low budget
942,medium budget
943,low budget
944,medium budget
947,medium budget
948,medium budget
949,low budget
950,low budget
952,medium budget
955,low budget
956,low budget
957,low budget
958,low budget
959,low budget
960,low budget
962,low budget
964,medium budget
965,low budget
966,low budget
966,low budget
966,low budget
967,low budget
968,low budget
969,low budget
970,low budget
971,low budget
972,low budget
973,medium budget
973,low budget
973,medium budget
973,medium budget
973,medium budget
973,low budget
973,medium budget
973,medium budget
973,medium budget
973,medium budget
973,low budget
974,low budget
976,low budget
976,low budget
976,low budget
976,low budget
977,low budget
978,low budget
978,low budget
978,low budget
978,low budget
978,low budget
978,low budget
979,low budget
979,medium budget
979,low budget
983,low budget
984,low budget
985,luxury/high budget
985,luxury/high budget
985,luxury/high budget
985,luxury/high budget
985,luxury/high budget
985,luxury/high budget
986,low budget
987,luxury/high budget
988,low budget
989,low budget
990,low budget
991,low budget
992,low budget
993,low budget
995,medium budget
996,low budget
997,low budget
997,low budget
998,low budget
999,low budget
1000,low budget
1006,medium budget
1009,low budget
1011,low budget
1012,low budget
1013,low budget
1016,medium budget
1017,low budget
1018,medium budget
1018,medium budget
1018,medium budget
1018,medium budget
1018,medium budget
1018,medium budget
1018,low budget
1018,medium budget
1018,medium budget
1018,medium budget
1018,medium budget
1018,medium budget
1018,medium budget
1018,medium budget
1018,medium budget
1018,medium budget
1018,medium budget
1019,low budget
1022,low budget
1023,low budget
1023,low budget
1024,low budget
1027,medium budget
1027,medium budget
1027,low budget
1027,low budget
1067,medium budget
1069,low budget
1029,low budget
1030,low budget
1030,low budget
1030,low budget
1031,low budget
1032,medium budget
1066,medium budget
1066,medium budget
1033,low budget
1034,low budget
1034,low budget
1034,low budget
1034,low budget
1034,low budget
1036,low budget
1037,medium budget
1038,low budget
1038,low budget
1038,low budget
1038,low budget
1038,low budget
1038,low budget
1039,medium budget
1042,low budget
1043,low budget
1043,low budget
1043,medium budget
1043,medium budget
1043,medium budget
1043,medium budget
1043,medium budget
1043,medium budget
1043,medium budget
1043,medium budget
1043,medium budget
1043,medium budget
1043,medium budget
1043,medium budget
1043,medium budget
1043,medium budget
1043,medium budget
1043,medium budget
1043,medium budget
1043,low budget
1043,low budget
1043,low budget
1043,low budget
1043,low budget
1043,low budget
1043,low budget
1043,low budget
1043,low budget
1043,low budget
1043,low budget
1043,low budget
1043,low budget
1043,low budget
1043,low budget
1043,low budget
1043,low budget
1043,low budget
1043,did not pay 
1043,did not pay 
1043,did not pay 
1043,did not pay 
1045,low budget
1046,low budget
1048,low budget
1049,low budget
1050,low budget
1051,low budget
1052,low budget
1053,medium budget
1054,low budget
1055,low budget
1056,low budget
1056,low budget
